,Sport,Year,Gender,Wordcount,Editcount,Linkcount,Married,Name,Title,URL
0,Archers,2016,f,38,12,7,False,Carolina Aguirre,Carolina Aguirre,https://en.wikipedia.org/wiki/Carolina_Aguirre
1,Archers,2016,m,31,16,7,False,Akmal Nor Hasrin,Akmal Nor Hasrin,https://en.wikipedia.org/wiki/Akmal_Nor_Hasrin
2,Archers,2016,m,85,23,9,False,Miguel Alvariño,Miguel Alvariño,https://en.wikipedia.org/wiki/Miguel_Alvari%C3%B1o
3,Archers,2016,f,98,29,11,False,Yasemin Anagöz,Yasemin Anagöz,https://en.wikipedia.org/wiki/Yasemin_Anag%C3%B6z
4,Archers,2016,f,54,12,11,False,Shehzana Anwar,Shehzana Anwar,https://en.wikipedia.org/wiki/Shehzana_Anwar
5,Archers,2016,m,175,19,9,False,Boris Baláž,Boris Baláž,https://en.wikipedia.org/wiki/Boris_Bal%C3%A1%C5%BE
6,Archers,2016,f,61,33,9,False,Laurence Baldauff,Laurence Baldauff,https://en.wikipedia.org/wiki/Laurence_Baldauff
7,Archers,2016,f,28,11,7,False,Gabriela Bayardo,Gabriela Bayardo,https://en.wikipedia.org/wiki/Gabriela_Bayardo
8,Archers,2016,m,435,36,24,False,Sjef van den Berg,Sjef van den Berg,https://en.wikipedia.org/wiki/Sjef_van_den_Berg
9,Archers,2016,f,38,13,6,False,Christine Bjerendal,Christine Bjerendal,https://en.wikipedia.org/wiki/Christine_Bjerendal
10,Archers,2016,m,153,24,8,False,Ernesto Boardman,Ernesto Boardman,https://en.wikipedia.org/wiki/Ernesto_Boardman
11,Archers,2016,f,78,11,6,False,Lucilla Boari,Lucilla Boari,https://en.wikipedia.org/wiki/Lucilla_Boari
12,Archers,2016,f,117,35,11,False,Leidys Brito,Leidys Brito,https://en.wikipedia.org/wiki/Leidys_Brito
13,Archers,2016,f,272,17,11,False,Mackenzie Brown,Mackenzie Brown,https://en.wikipedia.org/wiki/Mackenzie_Brown
14,Archers,2016,f,99,18,4,False,Yessica Camilo,Yessica Camilo,https://en.wikipedia.org/wiki/Yessica_Camilo
15,Archers,2016,f,31,10,7,False,Marina Canetta,Marina Canetta,https://en.wikipedia.org/wiki/Marina_Canetta
16,Archers,2016,f,55,18,9,False,Cao Hui,Cao Hui,https://en.wikipedia.org/wiki/Cao_Hui
17,Archers,2016,f,212,48,16,False,Chang Hye-jin,Chang Hye-jin,https://en.wikipedia.org/wiki/Chang_Hye-jin
18,Archers,2016,f,93,36,8,False,Choi Mi-sun,Choi Mi-sun,https://en.wikipedia.org/wiki/Choi_Mi-sun
19,Archers,2016,m,130,50,13,False,Marcus Vinicius D'Almeida,Marcus Vinicius D'Almeida,https://en.wikipedia.org/wiki/Marcus_Vinicius_D%27Almeida
20,Archers,2016,m,179,25,10,False,Lucas Daniel,Lucas Daniel,https://en.wikipedia.org/wiki/Lucas_Daniel
21,Archers,2016,m,103,46,4,False,Atanu Das,Atanu Das,https://en.wikipedia.org/wiki/Atanu_Das
22,Archers,2016,f,319,40,18,False,Tuyana Dashidorzhieva,Tuyana Dashidorzhieva,https://en.wikipedia.org/wiki/Tuyana_Dashidorzhieva
23,Archers,2016,m,99,16,5,False,Areneo David,Areneo David,https://en.wikipedia.org/wiki/Areneo_David
24,Archers,2016,m,312,23,19,False,Mitch Dielemans,Mitch Dielemans,https://en.wikipedia.org/wiki/Mitch_Dielemans
25,Archers,2016,m,230,82,13,False,Crispin Duenas,Crispin Duenas,https://en.wikipedia.org/wiki/Crispin_Duenas
26,Archers,2016,m,29,10,7,False,Sultan Duzelbayev,Sultan Duzelbayev,https://en.wikipedia.org/wiki/Sultan_Duzelbayev
27,Archers,2016,m,373,40,32,False,Riau Ega Agatha,Riau Ega Agatha,https://en.wikipedia.org/wiki/Riau_Ega_Agatha
28,Archers,2016,m,121,55,7,False,Rob Elder,Rob Elder,https://en.wikipedia.org/wiki/Rob_Elder
29,Archers,2016,m,370,211,18,True,Brady Ellison,Brady Ellison,https://en.wikipedia.org/wiki/Brady_Ellison
30,Archers,2016,f,252,53,17,False,Kristine Esebua,Kristine Esebua,https://en.wikipedia.org/wiki/Kristine_Esebua
31,Archers,2016,m,313,26,18,False,Antonio Fernández (archer),Antonio Fernández (archer),https://en.wikipedia.org/wiki/Antonio_Fern%C3%A1ndez_(archer)
32,Archers,2016,m,152,33,8,False,Florian Floto,Florian Floto,https://en.wikipedia.org/wiki/Florian_Floto
33,Archers,2016,f,1240,95,84,False,Naomi Folkard,Naomi Folkard,https://en.wikipedia.org/wiki/Naomi_Folkard
34,Archers,2016,m,242,64,11,False,Takaharu Furukawa,Takaharu Furukawa,https://en.wikipedia.org/wiki/Takaharu_Furukawa
35,Archers,2016,m,443,98,28,False,Marco Galiazzo,Marco Galiazzo,https://en.wikipedia.org/wiki/Marco_Galiazzo
36,Archers,2016,m,32,25,7,False,Jantsangiin Gantögs,Jantsangiin Gantögs,https://en.wikipedia.org/wiki/Jantsangiin_Gant%C3%B6gs
37,Archers,2016,m,69,35,8,False,Zach Garrett,Zach Garrett,https://en.wikipedia.org/wiki/Zach_Garrett
38,Archers,2016,m,277,49,25,False,Mete Gazoz,Mete Gazoz,https://en.wikipedia.org/wiki/Mete_Gazoz
39,Archers,2016,m,33,9,6,False,Ali El Ghrari,Ali El Ghrari,https://en.wikipedia.org/wiki/Ali_El_Ghrari
40,Archers,2016,m,317,27,18,False,Gu Xuesong,Gu Xuesong,https://en.wikipedia.org/wiki/Gu_Xuesong
41,Archers,2016,f,183,24,9,False,Yuki Hayashi (archer),Yuki Hayashi (archer),https://en.wikipedia.org/wiki/Yuki_Hayashi_(archer)
42,Archers,2016,f,92,18,10,False,San Yu Htwe,San Yu Htwe,https://en.wikipedia.org/wiki/San_Yu_Htwe
43,Archers,2016,m,522,35,19,False,Patrick Huston,Patrick Huston,https://en.wikipedia.org/wiki/Patrick_Huston
44,Archers,2016,f,482,69,15,False,Alice Ingley,Alice Ingley,https://en.wikipedia.org/wiki/Alice_Ingley
45,Archers,2016,m,129,15,7,False,Arne Jensen (archer),Arne Jensen (archer),https://en.wikipedia.org/wiki/Arne_Jensen_(archer)
46,Archers,2016,m,36,27,4,False,Haziq Kamaruddin,Haziq Kamaruddin,https://en.wikipedia.org/wiki/Haziq_Kamaruddin
47,Archers,2016,m,179,81,15,True,Jake Kaminski,Jake Kaminski,https://en.wikipedia.org/wiki/Jake_Kaminski
48,Archers,2016,f,91,32,10,False,Kang Un-ju,Kang Un-ju,https://en.wikipedia.org/wiki/Kang_Un-ju
49,Archers,2016,m,36,8,8,False,Kao Hao-wen,Kao Hao-wen,https://en.wikipedia.org/wiki/Kao_Hao-wen
50,Archers,2016,f,84,28,12,False,Karma (archer),Karma (archer),https://en.wikipedia.org/wiki/Karma_(archer)
51,Archers,2016,f,21,41,2,False,Kaori Kawanaka,Kaori Kawanaka,https://en.wikipedia.org/wiki/Kaori_Kawanaka
52,Archers,2016,f,344,118,28,False,Ki Bo-bae,Ki Bo-bae,https://en.wikipedia.org/wiki/Ki_Bo-bae
53,Archers,2016,m,270,63,18,False,Kim Woo-jin,Kim Woo-jin,https://en.wikipedia.org/wiki/Kim_Woo-jin
54,Archers,2016,m,62,20,9,False,Philippe Kouassi,Philippe Kouassi,https://en.wikipedia.org/wiki/Philippe_Kouassi
55,Archers,2016,m,206,56,13,False,Ku Bon-chan,Ku Bon-chan,https://en.wikipedia.org/wiki/Ku_Bon-chan
56,Archers,2016,f,1071,318,60,True,Deepika Kumari,Deepika Kumari,https://en.wikipedia.org/wiki/Deepika_Kumari
57,Archers,2016,f,140,17,7,False,Taru Kuoppa,Taru Kuoppa,https://en.wikipedia.org/wiki/Taru_Kuoppa
58,Archers,2016,f,863,148,53,False,Bombayla Devi Laishram,Bombayla Devi Laishram,https://en.wikipedia.org/wiki/Bombayla_Devi_Laishram
59,Archers,2016,f,47,33,8,False,Lei Chien-ying,Lei Chien-ying,https://en.wikipedia.org/wiki/Lei_Chien-ying
60,Archers,2016,m,168,57,13,False,Lee Seung-yun,Lee Seung-yun,https://en.wikipedia.org/wiki/Lee_Seung-yun
61,Archers,2016,f,333,31,18,False,Lin Shih-chia,Lin Shih-chia,https://en.wikipedia.org/wiki/Lin_Shih-chia
62,Archers,2016,f,40,16,6,False,Karina Lipiarska,Karina Lipiarska,https://en.wikipedia.org/wiki/Karina_Lipiarska
63,Archers,2016,f,50,3,5,False,Yuliya Lobzhenidze,Yuliya Lobzhenidze,https://en.wikipedia.org/wiki/Yuliya_Lobzhenidze
64,Archers,2016,f,218,2,11,False,Alexandra Longová,Alexandra Longová,https://en.wikipedia.org/wiki/Alexandra_Longov%C3%A1
65,Archers,2016,f,202,57,24,False,Laxmirani Majhi,Laxmirani Majhi,https://en.wikipedia.org/wiki/Laxmirani_Majhi
66,Archers,2016,m,124,31,14,False,Elías Malavé,Elías Malavé,https://en.wikipedia.org/wiki/El%C3%ADas_Malav%C3%A9
67,Archers,2016,f,33,23,3,False,Claudia Mandia,Claudia Mandia,https://en.wikipedia.org/wiki/Claudia_Mandia
68,Archers,2016,f,27,7,6,False,Reem Mansour,Reem Mansour,https://en.wikipedia.org/wiki/Reem_Mansour
69,Archers,2016,f,293,25,14,False,Veronika Marchenko (archer),Veronika Marchenko (archer),https://en.wikipedia.org/wiki/Veronika_Marchenko_(archer)
70,Archers,2016,f,64,23,8,False,Adriana Martin (archer),Adriana Martin (archer),https://en.wikipedia.org/wiki/Adriana_Martin_(archer)
71,Archers,2016,f,17,1,2,False,Alexandra Mîrca,Alexandra Mîrca,https://en.wikipedia.org/wiki/Alexandra_M%C3%AErca
72,Archers,2016,m,255,42,18,False,Khairul Anuar Mohamad,Khairul Anuar Mohamad,https://en.wikipedia.org/wiki/Khairul_Anuar_Mohamad
73,Archers,2016,m,41,15,7,False,Jit Bahadur Muktan,Jit Bahadur Muktan,https://en.wikipedia.org/wiki/Jit_Bahadur_Muktan
74,Archers,2016,f,206,15,9,False,Saori Nagamine,Saori Nagamine,https://en.wikipedia.org/wiki/Saori_Nagamine
75,Archers,2016,f,166,36,17,False,Khatuna Narimanidze,Khatuna Narimanidze,https://en.wikipedia.org/wiki/Khatuna_Narimanidze
76,Archers,2016,f,540,100,31,False,Zahra Nemati,Zahra Nemati,https://en.wikipedia.org/wiki/Zahra_Nemati
77,Archers,2016,m,33,23,7,False,Ahmed El-Nemr,Ahmed El-Nemr,https://en.wikipedia.org/wiki/Ahmed_El-Nemr
78,Archers,2016,m,454,92,19,False,Mauro Nespoli,Mauro Nespoli,https://en.wikipedia.org/wiki/Mauro_Nespoli
79,Archers,2016,m,37,17,5,False,Bård Nesteng,Bård Nesteng,https://en.wikipedia.org/wiki/B%C3%A5rd_Nesteng
80,Archers,2016,f,239,22,14,False,Sarah Nikitin,Sarah Nikitin,https://en.wikipedia.org/wiki/Sarah_Nikitin
81,Archers,2016,f,57,16,9,False,Laura Nurmsalu,Laura Nurmsalu,https://en.wikipedia.org/wiki/Laura_Nurmsalu
82,Archers,2016,m,49,21,6,False,Bernardo Oliveira,Bernardo Oliveira,https://en.wikipedia.org/wiki/Bernardo_Oliveira
83,Archers,2016,m,297,24,17,False,David Pasqualucci,David Pasqualucci,https://en.wikipedia.org/wiki/David_Pasqualucci
84,Archers,2016,f,308,18,16,False,Anastasia Pavlova,Anastasia Pavlova,https://en.wikipedia.org/wiki/Anastasia_Pavlova
85,Archers,2016,f,96,31,5,False,Ksenia Perova,Ksenia Perova,https://en.wikipedia.org/wiki/Ksenia_Perova
86,Archers,2016,f,374,40,18,False,Georcy-Stéphanie Picard,Georcy-Stéphanie Picard,https://en.wikipedia.org/wiki/Georcy-St%C3%A9phanie_Picard
87,Archers,2016,m,150,16,9,False,Samuli Piippo,Samuli Piippo,https://en.wikipedia.org/wiki/Samuli_Piippo
